,Lat,Lon,Province,Code
0,54.54737610000001,-94.50182982899996,Manitoba,
1,51.71897987800003,-101.90919396599999,Saskatchewan,
2,46.397979021000026,-81.17876023000002,Ontario,
3,46.97319543499998,-80.07211576399999,Ontario,
4,58.06110098800002,-115.621570082,Alberta,
5,48.861382876999976,-93.57322354700001,Ontario,
6,49.267225,-124.84891900000002,British Columbia,
7,52.93410002500002,-89.29634945499998,Ontario,
8,50.41130776799997,-115.908159529,British Columbia,
9,49.78684543700001,-86.57311497199998,Ontario,
10,50.734625224000006,-121.86442381900001,British Columbia,
11,50.01840545300002,-125.29092289300002,British Columbia,
12,53.941931606000026,-102.284930719,Saskatchewan,
13,57.42367324999998,-125.63028217700004,British Columbia,
14,47.25440384299997,-76.708010489,Québec,
15,48.59726819000002,-78.12071968599997,Québec,
16,51.224305238999996,-58.671373169,Québec,
17,55.40420096100002,-116.154259455,Alberta,
18,52.108297741,-121.993912319,British Columbia,
19,53.532258475999974,-88.60844763600001,Ontario,
20,62.82386585500001,-136.572935664,Yukon,
21,49.583492611000004,-115.75451178799999,British Columbia,
22,42.93599504000002,-82.41605569799998,Ontario,
23,60.44181228000002,-121.241394717,Northwest Territories,
24,48.83889661500001,-90.469314844,Ontario,
25,50.773332534000026,-119.73058005200001,British Columbia,
26,42.81898333800001,-81.47338782499997,Ontario,
27,50.35494606899999,-103.46747641399998,Saskatchewan,
28,49.46177413599997,-113.29665755799999,Alberta,
29,53.92403857800002,-90.97214707199998,Ontario,
30,43.07184682399998,-80.12939795300001,Ontario,
31,48.62715345599997,-123.45845692199998,British Columbia,
32,53.179247551,-99.256899675,Manitoba,
33,46.363132244,-75.982774415,Québec,
34,48.637248177,-93.91264210799999,Ontario,
35,53.12555561400001,-108.32945558699998,Saskatchewan,
36,46.208346618000014,-82.998628358,Ontario,
37,51.43847,-97.38331,Manitoba,
38,48.71095749699998,-92.94053166600004,Ontario,
39,44.64665803000002,-79.35127000199999,Ontario,
40,53.574794596999986,-107.11076611099999,Saskatchewan,
41,46.45458610999998,-64.76153414100003,New Brunswick,
42,47.91802992599997,-69.50763872899999,Québec,
43,53.420788367,-105.987452962,Saskatchewan,
44,46.69101025700002,-64.79453807200002,New Brunswick,
45,49.85910999999999,-100.48475000000002,Manitoba,
46,51.30547999999999,-97.55858999999998,Manitoba,
47,55.008780876,-85.42101384099999,Ontario,
48,51.059507102999994,-93.747668062,Ontario,
49,50.42268599200003,-125.15776038400006,British Columbia,
50,55.25567112499999,-127.675038195,British Columbia,
51,52.16977015700002,-128.14490101400006,British Columbia,
52,49.171443898000014,-122.56549429,British Columbia,
53,53.97547540300002,-128.64593002799998,British Columbia,
54,49.06583249699997,-94.321862571,Ontario,
55,60.24030706500002,-123.47407751600002,Northwest Territories,
56,51.01583251199997,-125.61446889700001,British Columbia,
57,50.859133413,-113.05083249199998,Alberta,
58,53.087346002,-124.490161267,British Columbia,
59,51.169799596000026,-114.84655417200004,Alberta,
60,52.13857757900003,-123.952087706,British Columbia,
61,53.84386481799999,-89.53875705899998,Ontario,
